day-,Temperature,Water Table,Soil Moisture,Rainfall
89,"34,4","-0,8004475524","50,7958042",0
90,34,"-0,818625","50,77430556",0
91,"33,3","-0,8349513889","50,63263889",0
92,33,"-0,8500694444","50,38611111",0
93,"29,8","-0,4789230769","56,71048951","0,1374125874"
94,"28,4","-0,5353125","55,42638889","0,003819444444"
95,"33,3","-0,5905793651","54,16904762",0
96,33,"-0,6265899281","53,28848921","0,0007194244604"
97,"33,6","-0,6549236111","52,88680556","0,01527777778"
98,"33,7","-0,6486736111","54,33541667","0,01458333333"
99,"31,5","-0,6015902778","55,22847222",0
100,"34,6","-0,6223194444","54,45138889","0,034375"
101,"33,3","-0,5779020979","55,60979021",0
102,"34,3","-0,6175985401","53,86934307",0
103,"33,8","-0,6548194444","52,97847222",0
104,32,"-0,6845294118","52,57352941",0
105,"32,3","-0,7139481481","52,19185185",0
106,"31,8","-0,6807264957","53,67350427","0,04230769231"
107,"32,8","-0,6005510204","55,47142857","0,0005102040816"
108,"32,9","-0,6317681159","53,93478261",0
109,"32,6","-0,6705982143","52,90446429",0
110,"33,3","-0,6976267606","52,45211268",0
111,"33,2","-0,7134186047","52,25116279",0
112,32,"-0,7377142857","52,07142857",0
113,"32,7","-0,747","52,1",0
114,"32,7",,,
115,"34,1",,,
116,"33,5",,,
117,"33,7","-0,8094285714","51,22857143",0
118,"33,4","-0,8213333333","51,06",0
119,"33,7","-0,8323157895","50,85789474",0
120,"33,2","-0,8456666667","50,8",0
121,"33,1","-0,8608888889","50,6",0
122,"34,9","-0,8779090909","50,22727273",0
123,"34,8","-0,8893529412","50,22352941",0
124,"35,3","-0,9045",50,0
125,"34,5","-0,926","49,9",0
126,"35,5","-0,9323703704","49,61481481",0
127,"35,1","-0,9635","49,1",0
128,"33,9","-0,9713963964","49,47477477",0
129,"31,8","-0,9775423729","49,3559322",0
130,"34,1","-0,99478125","49,04375",0
131,34,"-1,00697561","49,01219512",0
132,"35,1","-1,021546296","48,84351852",0
133,"33,7","-1,030454545","48,79090909",0
134,"33,7","-1,037553846","48,52",0
135,"34,8","-1,045388889","48,44305556",0
136,"33,7","-1,037826087","48,42608696",0
137,"34,5","-1,0423","48,256",0
138,"34,7","-1,042681818","48,10454545",0
139,"34,2","-1,042061224","47,8877551",0
140,"34,1","-1,042578947","47,62631579",0
141,"34,8","-1,042585714","47,48857143",0
142,"35,2","-1,041795455","47,3",0
143,"35,4","-1,041043478","47,12608696",0
144,"32,4","-1,039625","47,075",0
145,,"-1,043465116","46,8744186",0
146,"34,2","-1,043294118","46,76470588",0
147,"33,9","-1,042261905","46,47142857",0
148,"34,7","-1,043368421","46,22807018","0,0008771929825"
149,"34,8","-1,04265","46,2",0
150,"34,6","-1,043157143","45,90857143",0
151,35,"-1,043409639","45,83493976",0
152,"34,2","-1,042512195","45,7195122",0
153,"35,4","-1,040854839","45,5",0
154,"34,4","-1,04275","45,32272727",0
155,"34,2","-1,043597403","45,12207792",0
156,"34,7","-1,043368421","44,89473684",0
157,"32,8","-1,0425625","44,675",0
158,"35,6","-1,044","44,52",0
159,"33,5","-1,042694915","45,72033898",0
160,"28,9","-1,041515152","47,27575758","0,003787878788"
161,35,"-1,043111111","47,18",0
162,"35,7","-1,041354839","46,34516129",0
163,36,"-1,043833333","45,85",0
164,"34,9","-1,04525","45,20625",0
165,"31,1","-1,043869565","45,08695652",0
166,"34,6","-1,046791367","44,74244604",0
167,"31,4","-1,047076087","44,69673913",0
168,"32,5","-1,048692308","44,35897436",0
169,"34,8","-1,04938","44,38",0
170,"33,8","-1,0489375","44,08125",0
171,"34,2","-0,838047619","49,47380952",0
172,"32,8","-0,8724285714","47,83428571",0
173,"34,7","-0,8947439024","47,75121951",0
174,"35,4","-0,9066170213","47,22021277",0
175,"35,2","-0,9262291667","46,67291667",0
176,"34,6","-0,94785","46,26666667",0
177,"35,8","-0,9638402778","45,98541667",0
178,"35,8","-0,9797727273","45,73522727",0
179,"34,7","-0,998721519","45,47721519",0
180,"35,1","-1,017523077","45,22769231",0
181,"35,4","-1,035222222","45,11296296",0
182,"35,9","-1,044541176","44,96823529",0
183,"36,4","-1,042647059","44,76176471",0
184,"35,1","-1,046377622","23,42167832",0
185,"36,2","-1,045384615","24,87132867",0
186,"34,7","-1,044804196","20,16573427",0
187,35,"-1,044965278","12,87986111",0
188,"34,5","-1,044465278","20,27986111",0
189,"36,1","-1,045326389","18,10416667",0
190,"35,7","-1,044986111","44,04027778",0
191,"34,6","-1,044131944","44,60138889","0,03645833333"
192,"34,2","-1,043729167","48,25277778","0,0003472222222"
